Oligo Number,Study (comments here),Chemistry,Oligo,Distance from Donor (position of 1st base relative to donor),Distance from acceptor (position of last base relative to acceptor),Length,ACP,Targeted exon,Exon Length,Exon Malueka Category,L1 (WeeEtal),L3 (WeeEtal),niscore,niscore_per_base,ACC_FL,ACC_LAST8,ACC_LAST15,ACC_BEST8,ACC_AVE,Skip level,% skip,Skip level (num),Skip or No skip,"Tm (for DNA to DNA, simple calc from http://www.promega.com/techserv/tools/biomath/calc11.htm)",%GC,GCs (number of),%GC 5' intron 200 bases upstream,%GC fold increase target over 5' intron,%GC increase target over 5' intron,Decrease in GC% due to blocking by oligo,Decrease in ratio of exon to intron %GC due to oligo blocking,%GC exon,Total GCs in exon,Total GCs in target,# exon GCs blocked by oligo,Length of exon when blocked by oligo,%GC of exon when blocked by oligo,Exon v intron %GC,Exon v intron %GC after blocking by oligo,Exon-oligo binding energy,"dG (TargetAsExon, RNAstructure)","dG (50BaseFlanksAroundTarget, RNA structure)","dG (100BaseFlanks, RNAstructure)","dG (200BaseFlanks, RNAstructure)","dG (ExonStartTo10BaseDownFromOligo, RNAstructure)",RNAeval target-oligo,oligo_oligo binding energy, Min free E (RNAcofold), Free E of ensemble (RNAcofold), dG TargetAsExon oligo::target (RNAcofold), dG 50bp flanks oligo::target (RNAcofold), dG 100bp flanks oligo::target (RNAcofold), dG 150bp flanks oligo::target (RNAcofold), Free E oligo dimer (RNAcofold), Free E target monomer (RNAcofold), Free E oligo monomer (RNAcofold)
300,2009 Popplewell,PMO,h46A3,28,95,25,0.723,46,148,C,,,19.2778,0.771,0.00014092,0.01565003,0.001501888,0.4046055,0.556094464,Good (30-50%),49.7,2,1,57.684,48,12,0.245,1.96,23.5,2.62,0.11,0.35,52,12,40,123,32.5,1.43,1.33,-43.1,-43.1,-41.9,-40.4,-36.4,-44.2,-45.9,-5.2,-58.2,-60.71,-38.89,-35.69,-37.03,-29.59,-6.630556,-22.957611,-2.066579
301,2009 Popplewell,PMO,h46A30/3,23,95,30,0.74,46,148,C,,,22.8409,0.761,0.000119892,0.207306,0.00746865,0.4046055,0.60253867,Excellent (>50%),74.6,2,1,60.2533333333,43,13,0.245,1.76,18.5,2,0.08,0.35,52,12.9,39.1,118,33.1,1.43,1.35,-49.8,-49.8,-46.7,-47,-43.1,-50,-53.3,-6.3,-65.6,-68.05,-45.82,-41.7,-44.21,-38.94,-7.540778,-23.831521,-2.520547
302,2009 Popplewell,PMO,h46A30/4,20,98,30,0.76,46,148,C,,,20.6351,0.688,0.000100989,0.4679415,0.005853096,0.535659,0.611321087,Excellent (>50%),87.3,2,1,58.8866666667,40,12,0.245,1.63,15.5,1.24,0.05,0.35,52,12,40,118,33.9,1.43,1.38,-47.5,-47.5,-44.6,-44.1,-41.9,-48.2,-50.8,-6.3,-66.5,-68.93,-44.97,-41.68,-40.4,-35.98,-7.14382,-25.699945,-1.548906
303,2009 Popplewell,PMO,h46A4,20,103,25,0.777,46,148,C,,,15.6351,0.625,0.000152094,0.4679415,0.005853096,0.535659,0.592337568,Medium (10-30%),21.2,1,1,56.044,44,11,0.245,1.8,19.5,1.8,0.07,0.35,52,11,41,123,33.3,1.43,1.36,-39.9,-39.9,-37.7,-36.8,-34.1,-40.6,-42.8,-6.3,-59.4,-62.05,-37.44,-35.3,-32.97,-30.29,-6.954436,-25.625291,-1.126801
304,2009 Popplewell,PMO,h46A30/5,15,103,30,0.794,46,148,C,,,20.6351,0.688,7.16E-05,0.2138402,0.1187778,0.535659,0.620070873,Excellent (>50%),76.7,2,1,58.8866666667,40,12,0.245,1.63,15.5,1.24,0.05,0.35,52,12,40,118,33.9,1.43,1.38,-49.2,-49.2,-45.9,-40.4,-41.3,-46.1,-50,-6.3,-68.4,-70.38,-43.76,-42.11,-36.67,-32.67,-7.166567,-27.094167,-1.178422
305,2009 Popplewell,PMO,h46A6,0,123,25,0.912,46,148,C,,,16.5511,0.662,1.40E-05,0.003590209,0.000134802,0.5038021,0.507255165,Low (<10%),5.4,0,0,52.764,36,9,0.245,1.47,11.5,0.18,0.01,0.35,52,9,43,123,35,1.43,1.43,-31.5,-31.7,-28.7,-27.4,-27.8,-31.9,-38.6,-8,-49.5,-53.06,-32.69,-27.17,-22.21,-22.39,-9.152996,-23.131631,-2.767446
306,2009 Popplewell,PMO,h46A30/8,-18,136,30,1.017,46,148,C,,,-7.4804,-0.249,1.57E-05,0.2041127,0.09415466,0.2957923,0.501525161,Low (<10%),1.5,0,0,54.7866666667,30,9,0.245,1.22,5.5,-1.3,-0.05,0.35,52,9,43,118,36.4,1.43,1.49,-34.2,-15.8,-37.7,-33.1,-35,-37.1,-44.6,-1.8,-53.39,-56.13,-16.06,-33.15,-29.75,-33.19,-4.319531,-22.090741,-0.880798
307,2009 Popplewell,PMO,h46A30/7,-23,141,30,1.051,46,148,C,,,-9.0748,-0.302,0.000441319,0.143842,0.08945948,0.2957923,0.550108137,Medium (10-30%),18.5,1,1,54.7866666667,30,9,0.245,1.22,5.5,-1.3,-0.05,0.35,52,9,43,118,36.4,1.43,1.49,-34.2,-4.7,-36.6,-33.3,-32.4,-35.6,-44.7,-6.2,-52.52,-56,-6.78,-31.16,-29.75,-31.6,-6.828726,-22.895115,-1.943994
308,2009 Popplewell,PMO,h46A11,-20,143,25,1.047,46,148,C,,,-12.5264,-0.501,0.00186431,0.2265695,0.1072545,0.2957923,0.554868209,Low (<10%),0.6,0,0,46.204,20,5,0.245,0.82,-4.5,-3.08,-0.13,0.35,52,5,47,123,38.2,1.43,1.56,-24.5,-1.9,-22.7,-20,-19.7,-26.9,-30.9,-1.5,-38.2,-42.47,-3.13,-20.78,-18.41,-19.64,-3.63773,-21.077487,-0.607353
328,2009 Popplewell,PMO,h46A30/6,5,113,30,0.601,46,148,C,,,11.1796,0.373,3.92E-10,0.000238996,7.52E-07,0.03708291,0.409533714,None,0,0,0,58.8866666667,40,12,0.275,1.45,12.5,-0.64,-0.02,0.44,93,12,81,182,44.5,1.59,1.62,-42.1,-43.5,-43.7,-42.4,-44.4,-47.9,-67.4,-10.1,-80.62,-83.11,-44.28,-41.89,-43.88,-46.89,-17.349418,-34.441687,-6.780035
329,2009 Popplewell,PMO,h46A5,10,113,25,0.59,46,148,C,,,7.551,0.302,8.79E-09,0.000135429,1.46E-06,0.03708291,0.41142597,Low (<10%),0.2,0,0,52.764,36,9,0.275,1.31,8.5,-1.05,-0.04,0.44,93,9,84,187,44.9,1.59,1.63,-33.9,-31.4,-30.5,-30.9,-34.1,-37.1,-53.6,-7.9,-63.92,-67.78,-32.84,-29.24,-32.67,-35.36,-12.966593,-33.956558,-4.583156
310,2009 Popplewell,PMO,A25,146,62,25,0.318,51,233,A,,,4.3778,0.175,6.38E-05,0.007985186,0.000937388,0.130801,0.569144598,Medium (10-30%),14.9,1,1,52.764,36,9,0.26,1.38,10,-1.24,-0.05,0.46,108,9,99,208,47.6,1.78,1.83,-29.3,-29.6,-27.4,-26.6,-21.6,-28.6,-40.3,-11.6,-62.6,-65.88,-27.52,-24.9,-26.16,-25.4,-12.155572,-38.891693,-2.085684
311,2009 Popplewell,PMO,h51A,137,65,30,0.341,51,233,A,,,4.8728,0.162,4.38E-08,2.85E-05,7.23E-06,0.1194648,0.445514479,Medium (10-30%),26.3,1,1,60.2533333333,43,13,0.26,1.65,17,-0.5,-0.02,0.46,108,12.9,95.1,203,46.8,1.78,1.8,-40.3,-37.7,-39.1,-36.8,-29.3,-40.4,-53.5,-15,-74.3,-76.98,-34.36,-36.69,-33.52,-30.27,-13.103537,-36.558723,-3.734913
312,2009 Popplewell,PMO,h53A30/I,153,29,30,0.205,53,212,A,,,21.9194,0.731,5.46E-06,0.016282,0.00180347,0.5556109,0.601430932,Excellent (>50%),52.4,2,1,62.9866666667,50,15,0.275,1.82,22.5,1.01,0.04,0.44,93,15,78,182,42.8,1.59,1.56,-48.1,-49.9,-48.6,-45.6,-43.2,-50,-57.6,-17.4,-74.42,-77.79,-43.64,-42.97,-38.31,-36.04,-17.992172,-30.282141,-4.544374
313,2009 Popplewell,PMO,h53A30/2,150,32,30,0.219,53,212,A,,,21.6366,0.721,3.40E-06,0.002607413,0.000173323,0.5556109,0.602933125,Excellent (>50%),87.2,2,1,64.3533333333,53,16,0.275,1.93,25.5,1.51,0.05,0.44,93,15.9,77.1,182,42.4,1.59,1.54,-45.1,-47,-42.7,-42.5,-42.1,-50.2,-58.8,-17.4,-73.52,-76.93,-43.75,-39.04,-36.4,-37.02,-18.143977,-33.263842,-4.622996
314,2009 Popplewell,PMO,h53A1,153,34,25,0.217,53,212,A,,,17.6167,0.705,1.91E-05,0.016282,0.00180347,0.05413012,0.586080354,Medium (10-30%),12.7,1,1,59.324,52,13,0.275,1.89,24.5,1.09,0.04,0.44,93,13,80,187,42.8,1.59,1.56,-38.6,-40.4,-37.4,-36.4,-33.4,-40.5,-48.4,-17.4,-65.12,-68.36,-34.94,-33.55,-30.79,-27.59,-17.968738,-30.277335,-4.531163
315,2009 Popplewell,PMO,h53A30/3,147,35,30,0.233,53,212,A,,,19.36844,0.646,2.14E-06,0.02711498,0.000101012,0.05413012,0.536531939,Excellent (>50%),80.1,2,1,64.3533333333,53,16,0.275,1.93,25.5,1.51,0.05,0.44,93,15.9,77.1,182,42.4,1.59,1.54,-44.6,-45.5,-40.5,-33.8,-43.3,-50.5,-58.9,-17.4,-70.9,-74.34,-43.86,-37.88,-29.44,-36.2,-18.113022,-31.828819,-4.629314
316,2009 Popplewell,PMO,h53A2,150,37,25,0.231,53,212,A,,,16.6366,0.665,4.91E-06,0.002607413,0.000173323,0.05413012,0.547752642,Low (<10%),9.7,0,0,60.964,56,14,0.275,2.04,28.5,1.62,0.06,0.44,93,14,79,187,42.2,1.59,1.54,-36.1,-37.9,-36.9,-32.8,-34,-41.1,-49.9,-17.4,-64.42,-67.04,-35.05,-33.35,-27.97,-28.34,-17.971263,-29.163089,-4.534885
317,2009 Popplewell,PMO,h53A30/4,144,38,30,0.248,53,212,A,,,18.23994,0.608,1.95E-06,0.04603679,0.000902879,0.05413012,0.481230225,Good (30-50%),38.6,2,1,62.9866666667,50,15,0.275,1.82,22.5,1.01,0.04,0.44,93,15,78,182,42.8,1.59,1.56,-43.4,-44.3,-44.1,-34,-41.2,-48.1,-57.3,-17.4,-70.1,-73.02,-42.37,-41.08,-29.1,-34.45,-17.697969,-27.398003,-4.543662
318,2009 Popplewell,PMO,h53A3,147,40,25,0.245,53,212,A,,,15.27314,0.611,3.21E-06,0.02711498,0.000101012,0.05413012,0.474547866,Low (<10%),2,0,0,60.964,56,14,0.275,2.04,28.5,1.62,0.06,0.44,93,14,79,187,42.2,1.59,1.54,-36.7,-38.1,-37.2,-26.7,-34.1,-43.1,-49.1,-13.7,-60.9,-63.91,-36.73,-35.84,-22.63,-29.34,-12.157553,-25.614801,-2.458913
319,2009 Popplewell,PMO,h53A30/5,141,41,30,0.262,53,212,A,,,17.93814,0.598,2.15E-06,0.06964764,0.01237185,0.06964764,0.496919849,Low (<10%),9.4,0,0,61.62,47,14,0.275,1.71,19.5,0.52,0.02,0.44,93,14.1,78.9,182,43.3,1.59,1.58,-42.4,-43.3,-41.6,-35.7,-37.6,-47.1,-55.1,-11.3,-69,-71.73,-41.06,-39.94,-31.42,-33.55,-12.885097,-27.762104,-4.025283
320,2009 Popplewell,PMO,h53A4,144,43,25,0.259,53,212,A,,,14.03004,0.561,5.47E-06,0.04603679,0.000902879,0.05413012,0.485580393,Medium (10-30%),10.5,1,1,57.684,48,12,0.275,1.75,20.5,0.55,0.02,0.44,93,12,81,187,43.3,1.59,1.57,-34.3,-35.2,-32,-24.2,-30.4,-39,-46.2,-8.5,-55,-58.88,-33.96,-30.06,-19.81,-25.27,-9.302257,-26.524564,-2.298224
321,2009 Popplewell,PMO,h53430/6,138,44,30,0.276,53,212,A,,,15.35174,0.512,6.50E-06,0.08193512,0.01001543,0.08193512,0.57117077,Good (30-50%),35.9,2,1,61.62,47,14,0.275,1.71,19.5,0.52,0.02,0.44,93,14.1,78.9,182,43.3,1.59,1.58,-42.3,-43.2,-41.7,-36.5,-38.7,-46.1,-54.3,-8.5,-65,-68.06,-42.03,-38.5,-32.08,-34.08,-8.694043,-27.575104,-1.982271
322,2009 Popplewell,PMO,h53A5,141,46,25,0.274,53,212,A,,,12.93814,0.518,2.97E-05,0.06964764,0.01237185,0.06964764,0.55609238,Low (<10%),9,0,0,57.684,48,12,0.275,1.75,20.5,0.55,0.02,0.44,93,12,81,187,43.3,1.59,1.57,-35.5,-36.4,-34.9,-29.3,-31.4,-40.2,-45.5,-8.5,-57.1,-60.5,-35,-32.66,-24.23,-26.58,-8.552143,-25.940147,-1.891301
323,2009 Popplewell,PMO,h53A6,138,49,25,0.288,53,212,A,,,10.50424,0.42,3.40E-05,0.08193512,0.01001543,0.08193512,0.542609608,Low (<10%),0.3,0,0,57.684,48,12,0.275,1.75,20.5,0.55,0.02,0.44,93,12,81,187,43.3,1.59,1.57,-35.3,-36.2,-35,-30.5,-30.2,-39.1,-44.6,-8.5,-56.1,-58.97,-35.96,-32.78,-26.95,-27.29,-6.74488,-25.913645,-0.277734
324,2009 Popplewell,PMO,h53B1,119,68,25,0.377,53,212,A,,,2.897,0.116,0.00011768,0.008903457,0.000404748,0.6376315,0.620822093,None,0,0,0,49.484,28,7,0.275,1.02,0.5,-2.12,-0.08,0.44,93,7,86,187,46,1.59,1.67,-22.1,-23.7,-23.1,-21.1,-14.4,-24.8,-34.8,-12.1,-57.1,-59.49,-23.97,-24.11,-19.87,-15.71,-11.812562,-31.338966,-4.037796
325,2009 Popplewell,PMO,h53132,108,79,25,0.429,53,212,A,,,12.1639,0.487,5.42E-07,0.000706304,0.000150557,0.01211328,0.366843257,Low (<10%),0.6,0,0,57.684,48,12,0.275,1.75,20.5,0.55,0.02,0.44,93,12,81,187,43.3,1.59,1.57,-30.1,-31.9,-36.9,-32.8,-25,-37.8,-46.3,-11.3,-66.3,-68.46,-32.57,-33.58,-29.83,-27.82,-11.054061,-32.503889,-2.36843
326,2009 Popplewell,PMO,h53B3,98,89,25,0.476,53,212,A,,,12.6967,0.508,1.83E-05,0.02262973,0.000777499,0.235604,0.528390332,Low (<10%),3,0,0,57.684,48,12,0.275,1.75,20.5,0.55,0.02,0.44,93,12,81,187,43.3,1.59,1.57,-34.5,-35.3,-38.4,-36.2,-28.4,-41,-45.6,-5.5,-68.92,-70.7,-33.93,-32.02,-34.32,-27.77,-5.333638,-37.636383,-1.041366
327,2009 Popplewell,PMO,h53C1,79,108,25,0.566,53,212,A,,,9.1647,0.367,7.26E-07,0.03708291,2.28E-05,0.03708291,0.542530736,None,0,0,0,57.684,48,12,0.275,1.75,20.5,0.55,0.02,0.44,93,12,81,187,43.3,1.59,1.57,-32.4,-33.2,-34.1,-31.5,-27.2,-39.2,-47.3,-9.8,-65.52,-68.47,-33.93,-33.49,-33.38,-29.99,-10.608701,-33.491656,-1.487544
330,2009 Popplewell,PMO,h53C2,72,115,25,0.599,53,212,A,,,6.6241,0.265,7.25E-09,0.000139047,2.93E-06,0.03708291,0.429645137,None,0,0,0,60.964,56,14,0.275,2.04,28.5,1.62,0.06,0.44,93,14,79,187,42.2,1.59,1.54,-31.3,-32.5,-30,-32.3,-31.4,-36.4,-52.1,-12.7,-66.4,-69.21,-32.38,-30.75,-32.85,-33.23,-12.585426,-34.053968,-4.397802
331,2009 Popplewell,PMO,h53C3,60,127,25,0.656,53,212,A,,,13.8484,0.554,1.09E-07,0.006811398,0.000146761,0.006811398,0.38710213,None,0,0,0,62.604,60,15,0.275,2.18,32.5,2.16,0.08,0.44,93,15,78,187,41.7,1.59,1.52,-34.6,-34.8,-35.9,-35.1,-31.9,-37.5,-53.1,-13.7,-69.2,-71.69,-35.45,-32.89,-33.68,-35.55,-15.325654,-34.094254,-4.711642
332,2009 Popplewell,PMO,h53D1,39,148,25,0.755,53,212,A,,,4.10134,0.164,1.38E-05,0.01200477,0.000894134,0.04211085,0.43271898,None,0,0,0,59.324,52,13,0.275,1.89,24.5,1.09,0.04,0.44,93,13,80,187,42.8,1.59,1.56,-34.1,-35.5,-43.7,-36.7,-31.2,-38.7,-50.2,-13.4,-72.2,-73.76,-35.03,-39.82,-35.56,-35.61,-12.246529,-30.465583,-3.476566
309,2009 Popplewell,PMO,h53D2,30,157,25,1.142,53,212,A,,,2.67508,0.107,3.22E-05,0.007488556,0.000368011,0.2265695,0.52225516,Low (<10%),0.1,0,0,57.684,48,12,0.245,1.96,23.5,2.62,0.11,0.35,52,12,40,123,32.5,1.43,1.33,-36.5,-5,-42.4,-34.4,-39.6,-43.4,-50.7,-14.5,-59.4,-62.08,-4.12,-35.87,-27.89,-35.89,-19.88725,-21.588677,-4.617842
333,2009 Popplewell,PMO,H53D3,18,169,25,0.854,53,212,A,,,8.54644,0.342,0.000543711,0.0402099,0.001499687,0.133976,0.538301064,Low (<10%),3.7,0,0,52.764,36,9,0.275,1.31,8.5,-1.05,-0.04,0.44,93,9,84,187,44.9,1.59,1.63,-34.3,-35.7,-34.6,-36.4,-33.2,-35.8,-39.4,-11.2,-56.1,-58.52,-33.4,-31,-32.24,-30.4,-10.541711,-25.916457,-1.602116
334,2009 Popplewell,PMO,h53D4,6,181,25,0.91,53,212,A,,,13.98926,0.56,0.000805414,0.147081,0.1186072,0.3833306,0.678333836,Medium (10-30%),12.3,1,1,51.124,32,8,0.275,1.16,4.5,-1.59,-0.06,0.44,93,8,85,187,45.4,1.59,1.65,-30.9,-31.2,-30.5,-28.3,-26.7,-29.9,-37.5,-9.2,-51.7,-55.99,-30.72,-26.47,-27.13,-28.02,-11.335704,-24.767991,-4.75461
335,2009 Popplewell,PMO,h53D5,0,187,25,0.939,53,212,A,,,16.66176,0.666,0.00303788,0.03067492,0.01360558,0.3833306,0.712615792,Low (<10%),7.9,0,0,52.764,36,9,0.275,1.31,8.5,-1.05,-0.04,0.44,93,9,84,187,44.9,1.59,1.63,-31.5,-34.8,-35.7,-32.3,-32.4,-33.7,-38,-3.3,-51.6,-54.73,-34.75,-32.04,-30.68,-31,-2.698485,-22.47652,-0.214405
336,2012 Dwi Pramono,2OMePS,AON2-1,33,3,26,0.266,2,62,D,,,13.6657,0.526,0.000197512,0.02295731,0.009226059,0.2494523,0.477774692,,64.60%,2,1,,,,0.275,,,,,0.29,18,,,36,,1.06,,,-31.6,-30.8,-24.5,-16.1,-32.5,-36.1,,-45.31,-48.71,-29.04,-26.94,-22.9,-22.82,-6.513415,-19.437211,-2.331538
337,2012 Dwi Pramono,2OMePS,AON2-2,18,16,28,0.492,2,62,D,,,3.8243,0.137,0.0006673,0.02530654,0.002792724,0.2494523,0.510398643,,64.50%,2,1,,,,0.275,,,,,0.29,18,,,34,,1.06,,,-35.3,-40.1,-36.3,-31.1,-38.4,-40.4,,-53.6,-55.85,-32.32,-34.34,-34.51,-28.33,-6.498532,-20.383734,-1.131506
